"shapeid","x","y","identifier","formOfNode","fictitious","identifi_1","class","roadNumber","name1","name1_lang","name2","name2_lang","formOfWay","strategic","length","structure","loop","startNode","endNode","formsPart","gml_id","changeType","startDate","lastUpdate","entryDate","uprn","logicalSta","blpuState","blpuStateD","rpc","localCusto","country","addressbas","postcodeLo","multiOccCo","deliveryPo","delivery_1","delivery_2","udprn","buildingNu","thoroughfa","postTown","postcode","postcodeTy","delivery_3","processDat","landProper","landProp_1","landProp_2","lpiKey","landProp_3","paoStartNu","usrn","usrnMatchI","officialFl","applicatio","applicat_1","applicat_2","xRefKey","crossRefer","version","source","classifica","classifi_1","classifi_2","classKey","classifi_3","classSchem","schemeVers","buildingNa","paoStartSu","parentUPRN","subBuildin","saoText","saoStartNu","paoText","organisati","organisa_1","organisa_2","orgKey","organisa_3","endDate","landProp_4","applicat_3","classifi_4","organisa_4","dependentT","paoEndNumb","saoStartSu","dependentL","paoEndSuff","organisa_5","department","doubleDepe","saoEndNumb","poBoxNumbe","best_server"
"36","291649.92492","91915.88278","e60e4275-8e3c-4f7c-a53d-b909aa469781","junction","false","be724197-e5a4-4d57-a37c-f096bfce4ff5","A Road","A377","Alphington Street","Acc","NULL","NULL","Collapsed Dual Carriageway","Primary","14.548","NULL","false","e60e4275-8e3c-4f7c-a53d-b909aa469781","73e5d506-d2a0-4cd5-aa2c-a0c0da6a99f0","osgb4000000025357223,osgb4000000021011724","uk.addressbase.uprn.10024944117","I","2011-09-16","2016-02-10","2010-02-24","10024944117.0","1","NULL","NULL","1","7655","E","N","EX4 1AH","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101415149)","(1:1)","NULL","(1:14202720)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2014-09-09,2006-03-18,2016-02-07,2008-03-02)","(4:7655X600611657,7655X900611657,7655X135455459,7655X700611657)","(4:osgb5000005132093442,osgb5000000000739190,E05003506,...)","(3:1,17,5)","(4:7666MI,7666MA,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-02-24)","(1:7655C000611657)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","22"
"37","291330.0","91845.0","34e90044-2d61-47e1-afd0-bc8afc4522cf","junction","false","2c48bd34-105e-4670-b03f-88a3a9d494d4","Unclassified","NULL","Church Road","Acc","NULL","NULL","Single Carriageway","NULL","47.434","NULL","false","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","34e90044-2d61-47e1-afd0-bc8afc4522cf","osgb4000000025360576","uk.addressbase.uprn.10024666656","I","2011-09-16","2016-02-10","2010-04-25","10024666656.0","1","NULL","NULL","1","7655","E","N","EX2 9AX","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171831)","(1:1)","NULL","(1:14202708)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-18,2016-02-07,2010-02-18,2015-07-16)","(4:7655X900405421,7655X134373789,7655X600405421,7655X700405421)","(4:osgb5000000000052839,E05003506,osgb4000000025447544,...)","(3:14,3,1)","(4:7666MA,7666OW,7666MI,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2010-04-25)","(1:7655C000405421)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATIONS 8M FROM 4 CHURCH ROAD. 1M FROM CHURCH LANE)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"38","291683.0","91272.0","49705cf8-b02e-405c-beba-fcaaeeb1a4f1","junction","false","60b3b694-a7b6-4b1a-b3bd-e3c5ea9681d3","Unclassified","NULL","Ebrington Road","Acc","NULL","NULL","Single Carriageway","NULL","206.631","NULL","false","49705cf8-b02e-405c-beba-fcaaeeb1a4f1","8045718d-512b-4c82-ae98-b1b1d15a2a10","osgb4000000025360575","uk.addressbase.uprn.10024666658","I","2011-09-16","2016-02-10","2008-04-21","10024666658.0","1","NULL","NULL","1","7655","E","N","EX2 8JR","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655L101171833)","(1:1)","NULL","(1:14200262)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-17,2016-02-07,2006-03-09,2006-03-18)","(4:7655X700405423,7655X134373791,7655X600405423,7655X900405423)","(4:osgb1000012288485,E05003491,osgb4000000025320402,osgb5000000000052844)","(3:4,8,9)","(4:7666MT,7666OW,7666MI,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655C000405423)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13"
"39","291855.054","91845.712","ef054ba6-9c31-44df-81da-e62af92249ce","junction","false","30356685-6581-43d5-91ae-e726811d8cbf","Not Classified","NULL","NULL","NULL","NULL","NULL","Single Carriageway","NULL","44.569","NULL","false","ef054ba6-9c31-44df-81da-e62af92249ce","b38711bb-f6e5-4a5a-a0df-83b6e446e6b6","NULL","uk.addressbase.uprn.10024665620","I","2011-09-16","2016-02-10","2011-09-01","10024665620.0","1","NULL","NULL","1","7655","E","N","EX2 8BY","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101170251)","(1:1)","NULL","(1:14200893)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-10,2016-02-07)","(4:2015-07-23,2008-01-30,2006-03-18,2016-02-07)","(4:7655X600389279,7655X700389279,7655X900389279,7655X134368750)","(4:osgb5000005157730294,osgb1000000347978358,osgb5000000000052830,...)","(3:1,3,18)","(4:7666MI,7666MT,7666MA,7666OW)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000389279)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14"
"40","291923.734","91947.525","6ecdbbd1-7b4b-4eff-b99e-d00a57a2d62f","junction","false","d0b8bc6f-9f62-4921-8b13-34397ff0cfc1","Unclassified","NULL","Haven Road","Acc","NULL","NULL","Single Carriageway","NULL","41.101","NULL","false","6ecdbbd1-7b4b-4eff-b99e-d00a57a2d62f","ebb63f44-0fad-4506-9f03-e550ec7ad223","osgb4000000025355274","uk.addressbase.uprn.10024657979","I","2011-09-16","2016-02-10","2008-12-18","10024657979.0","1","NULL","NULL","1","7655","E","N","EX2 8DN","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101159162)","(1:1)","NULL","(1:14200239)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2015-07-23,2016-02-07,2008-01-30,2006-03-18)","(4:7655X600396762,7655X134331568,7655X700396762,7655X900396762)","(4:osgb5000005157730294,E05003491,osgb1000000347978383,...)","(3:1,3,15)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-12-18)","(1:7655C000396762)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9"
"41","291411.0","91881.0","168e7ca5-7ed7-46a8-9ff3-8164e429f424","junction","false","ccf02662-6250-4e70-9485-2f77ce1d4c3a","Unclassified","NULL","Church Road","Acc","NULL","NULL","Single Carriageway","NULL","53.896","NULL","false","168e7ca5-7ed7-46a8-9ff3-8164e429f424","7d73b6c3-0d28-4e5e-9e19-2aed907410fa","osgb4000000025360576","uk.addressbase.uprn.10024666657","I","2011-09-16","2016-02-10","2011-09-01","10024666657.0","1","NULL","NULL","1","7655","E","N","EX4 1AJ","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171832)","(1:1)","NULL","(1:14200799)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2005-09-17,2006-03-18,2016-02-07,2008-01-30)","(4:7655X600405422,7655X900405422,7655X134373790,7655X700405422)","(4:osgb4000000025345857,osgb5000000000052840,E05003506,...)","(3:3,53,4)","(4:7666MI,7666MA,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000405422)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"42","291683.0","91272.0","49705cf8-b02e-405c-beba-fcaaeeb1a4f1","junction","false","861ff4bc-061d-4a94-9cf5-81b68b5c5ae6","Unclassified","NULL","Ashwood Road","Acc","NULL","NULL","Single Carriageway","NULL","76.026","NULL","false","6e2a3267-02f3-428e-9e2a-f354654222a8","49705cf8-b02e-405c-beba-fcaaeeb1a4f1","osgb4000000025363840","uk.addressbase.uprn.10024666658","I","2011-09-16","2016-02-10","2008-04-21","10024666658.0","1","NULL","NULL","1","7655","E","N","EX2 8JR","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655L101171833)","(1:1)","NULL","(1:14200262)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-17,2016-02-07,2006-03-09,2006-03-18)","(4:7655X700405423,7655X134373791,7655X600405423,7655X900405423)","(4:osgb1000012288485,E05003491,osgb4000000025320402,osgb5000000000052844)","(3:4,8,9)","(4:7666MT,7666OW,7666MI,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655C000405423)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13"
"43","291855.054","91845.712","ef054ba6-9c31-44df-81da-e62af92249ce","junction","false","30177b30-32f5-42b6-871d-c18c46cdc5eb","Unclassified","NULL","Water Lane","Acc","NULL","NULL","Single Carriageway","NULL","60.47","NULL","false","ef054ba6-9c31-44df-81da-e62af92249ce","7b310bb1-2e98-42fb-a602-e874de29ace0","osgb4000000025355272","uk.addressbase.uprn.10024665620","I","2011-09-16","2016-02-10","2011-09-01","10024665620.0","1","NULL","NULL","1","7655","E","N","EX2 8BY","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101170251)","(1:1)","NULL","(1:14200893)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-10,2016-02-07)","(4:2015-07-23,2008-01-30,2006-03-18,2016-02-07)","(4:7655X600389279,7655X700389279,7655X900389279,7655X134368750)","(4:osgb5000005157730294,osgb1000000347978358,osgb5000000000052830,...)","(3:1,3,18)","(4:7666MI,7666MT,7666MA,7666OW)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000389279)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14"
"44","291923.734","91947.525","6ecdbbd1-7b4b-4eff-b99e-d00a57a2d62f","junction","false","32c3f28d-f1ba-4898-a9dc-b83e6557d16b","Unclassified","NULL","Haven Road","Acc","NULL","NULL","Single Carriageway","NULL","50.368","NULL","false","c43109b9-61ff-4bde-96c7-344357382484","6ecdbbd1-7b4b-4eff-b99e-d00a57a2d62f","osgb4000000025355274","uk.addressbase.uprn.10024657979","I","2011-09-16","2016-02-10","2008-12-18","10024657979.0","1","NULL","NULL","1","7655","E","N","EX2 8DN","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101159162)","(1:1)","NULL","(1:14200239)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2015-07-23,2016-02-07,2008-01-30,2006-03-18)","(4:7655X600396762,7655X134331568,7655X700396762,7655X900396762)","(4:osgb5000005157730294,E05003491,osgb1000000347978383,...)","(3:1,3,15)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-12-18)","(1:7655C000396762)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9"
"45","291411.0","91881.0","168e7ca5-7ed7-46a8-9ff3-8164e429f424","junction","false","a9e03d8e-044f-40b8-a243-a6c393fefd1b","Unclassified","NULL","Church Road","Acc","NULL","NULL","Single Carriageway","NULL","35.847","NULL","false","4fbd55f9-8945-44b3-977c-23344666913b","168e7ca5-7ed7-46a8-9ff3-8164e429f424","osgb4000000025360576","uk.addressbase.uprn.10024666657","I","2011-09-16","2016-02-10","2011-09-01","10024666657.0","1","NULL","NULL","1","7655","E","N","EX4 1AJ","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171832)","(1:1)","NULL","(1:14200799)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2005-09-17,2006-03-18,2016-02-07,2008-01-30)","(4:7655X600405422,7655X900405422,7655X134373790,7655X700405422)","(4:osgb4000000025345857,osgb5000000000052840,E05003506,...)","(3:3,53,4)","(4:7666MI,7666MA,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000405422)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"46","291683.0","91272.0","49705cf8-b02e-405c-beba-fcaaeeb1a4f1","junction","false","ee206b47-cad4-424a-a8ba-d921b01f17f2","Unclassified","NULL","Ebrington Road","Acc","NULL","NULL","Single Carriageway","NULL","103.044","NULL","false","99998812-60f5-4f9a-bc07-b85969baf407","49705cf8-b02e-405c-beba-fcaaeeb1a4f1","osgb4000000025360575","uk.addressbase.uprn.10024666658","I","2011-09-16","2016-02-10","2008-04-21","10024666658.0","1","NULL","NULL","1","7655","E","N","EX2 8JR","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655L101171833)","(1:1)","NULL","(1:14200262)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-17,2016-02-07,2006-03-09,2006-03-18)","(4:7655X700405423,7655X134373791,7655X600405423,7655X900405423)","(4:osgb1000012288485,E05003491,osgb4000000025320402,osgb5000000000052844)","(3:4,8,9)","(4:7666MT,7666OW,7666MI,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655C000405423)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13"
"47","291855.054","91845.712","ef054ba6-9c31-44df-81da-e62af92249ce","junction","false","7d2bcd6b-94ea-4136-9fc4-62a23a94ab93","Not Classified","NULL","NULL","NULL","NULL","NULL","Single Carriageway","NULL","59.672","NULL","false","2da4fb59-23d4-481e-9758-5da509fab37f","ef054ba6-9c31-44df-81da-e62af92249ce","NULL","uk.addressbase.uprn.10024665620","I","2011-09-16","2016-02-10","2011-09-01","10024665620.0","1","NULL","NULL","1","7655","E","N","EX2 8BY","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101170251)","(1:1)","NULL","(1:14200893)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-10,2016-02-07)","(4:2015-07-23,2008-01-30,2006-03-18,2016-02-07)","(4:7655X600389279,7655X700389279,7655X900389279,7655X134368750)","(4:osgb5000005157730294,osgb1000000347978358,osgb5000000000052830,...)","(3:1,3,18)","(4:7666MI,7666MT,7666MA,7666OW)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000389279)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14"
"48","291923.734","91947.525","6ecdbbd1-7b4b-4eff-b99e-d00a57a2d62f","junction","false","ec9667e6-6c30-4a01-abc5-b3b19643d373","Unclassified","NULL","Diamond Road","Acc","NULL","NULL","Single Carriageway","NULL","75.417","NULL","false","b33405b5-74a9-419a-b603-29e307221138","6ecdbbd1-7b4b-4eff-b99e-d00a57a2d62f","osgb4000000025365752","uk.addressbase.uprn.10024657979","I","2011-09-16","2016-02-10","2008-12-18","10024657979.0","1","NULL","NULL","1","7655","E","N","EX2 8DN","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101159162)","(1:1)","NULL","(1:14200239)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2015-07-23,2016-02-07,2008-01-30,2006-03-18)","(4:7655X600396762,7655X134331568,7655X700396762,7655X900396762)","(4:osgb5000005157730294,E05003491,osgb1000000347978383,...)","(3:1,3,15)","(4:7666MI,7666OW,7666MT,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-12-18)","(1:7655C000396762)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","9"
"49","291544.0","91020.0","a1108885-33f1-4c40-acc5-ceaa81945f6e","junction","false","12626b25-46bd-4490-8417-0d4a3ce4f24d","Unclassified","NULL","Marsh Barton Road","Acc","NULL","NULL","Single Carriageway","NULL","24.709","NULL","false","a1108885-33f1-4c40-acc5-ceaa81945f6e","fe492701-89de-417a-b5fb-430604190e78","osgb4000000025363843","uk.addressbase.uprn.10024657976","I","2011-09-16","2016-02-10","2007-11-22","10024657976.0","1","NULL","NULL","1","7655","E","N","EX2 9LD","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101159159)","(1:1)","NULL","(1:14200065)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-07,2016-02-10,2016-02-10,2016-02-10)","(4:2016-02-07,2006-03-18,2006-03-17,2005-09-16)","(4:7655X134331565,7655X900394869,7655X700394869,7655X600394869)","(4:E05003491,osgb5000000000053812,osgb1000000347963163,...)","(3:8,3,3)","(4:7666OW,7666MA,7666MT,7666MI)","(1:2011-09-16)","(1:2016-02-10)","(1:2007-11-22)","(1:7655C000394869)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:ELECTRICITY SUB STATION 6M FROM 12 BEAWORTHY CLOSE. ON BEAWORTHY CLOSE)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1"
"50","291411.0","91881.0","168e7ca5-7ed7-46a8-9ff3-8164e429f424","junction","false","3c87a124-8f73-458d-9042-20847d4ad97d","Unclassified","NULL","Oxford Street","Acc","NULL","NULL","Single Carriageway","NULL","159.176","NULL","false","107e34a0-81d9-409b-8f25-56e9fc9e9db3","168e7ca5-7ed7-46a8-9ff3-8164e429f424","osgb4000000025360569","uk.addressbase.uprn.10024666657","I","2011-09-16","2016-02-10","2011-09-01","10024666657.0","1","NULL","NULL","1","7655","E","N","EX4 1AJ","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101171832)","(1:1)","NULL","(1:14200799)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-07,2016-02-10)","(4:2005-09-17,2006-03-18,2016-02-07,2008-01-30)","(4:7655X600405422,7655X900405422,7655X134373790,7655X700405422)","(4:osgb4000000025345857,osgb5000000000052840,E05003506,...)","(3:3,53,4)","(4:7666MI,7666MA,7666OW,7666MT)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000405422)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11"
"51","291727.0","91334.0","6e2a3267-02f3-428e-9e2a-f354654222a8","junction","false","d887cf97-6f06-42fc-af97-f22be7ee0e62","Unclassified","NULL","Woodville Road","Acc","NULL","NULL","Single Carriageway","NULL","155.238","NULL","false","6e2a3267-02f3-428e-9e2a-f354654222a8","877a37d2-d0ce-40a3-9a78-29117812a66a","osgb4000000025360439","uk.addressbase.uprn.10024666658","I","2011-09-16","2016-02-10","2008-04-21","10024666658.0","1","NULL","NULL","1","7655","E","N","EX2 8JR","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655L101171833)","(1:1)","NULL","(1:14200262)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-07,2016-02-10,2016-02-10)","(4:2006-03-17,2016-02-07,2006-03-09,2006-03-18)","(4:7655X700405423,7655X134373791,7655X600405423,7655X900405423)","(4:osgb1000012288485,E05003491,osgb4000000025320402,osgb5000000000052844)","(3:4,8,9)","(4:7666MT,7666OW,7666MI,7666MA)","(1:2011-09-16)","(1:2016-02-10)","(1:2008-04-21)","(1:7655C000405423)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","13"
"52","291864.221","91886.374","2da4fb59-23d4-481e-9758-5da509fab37f","roadEnd","false","7d2bcd6b-94ea-4136-9fc4-62a23a94ab93","Not Classified","NULL","NULL","NULL","NULL","NULL","Single Carriageway","NULL","59.672","NULL","false","2da4fb59-23d4-481e-9758-5da509fab37f","ef054ba6-9c31-44df-81da-e62af92249ce","NULL","uk.addressbase.uprn.10024665620","I","2011-09-16","2016-02-10","2011-09-01","10024665620.0","1","NULL","NULL","1","7655","E","N","EX2 8BY","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655L101170251)","(1:1)","NULL","(1:14200893)","(1:2)","(1:N)","(4:2016-02-07,2016-02-07,2016-02-07,2016-02-07)","(4:2016-02-10,2016-02-10,2016-02-10,2016-02-07)","(4:2015-07-23,2008-01-30,2006-03-18,2016-02-07)","(4:7655X600389279,7655X700389279,7655X900389279,7655X134368750)","(4:osgb5000005157730294,osgb1000000347978358,osgb5000000000052830,...)","(3:1,3,18)","(4:7666MI,7666MT,7666MA,7666OW)","(1:2011-09-16)","(1:2016-02-10)","(1:2011-09-01)","(1:7655C000389279)","(1:CU01)","(1:AddressBase Premium Classification Scheme)","(1:1)","NULL","NULL","NULL","NULL","NULL","NULL","(1:,...)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","14"
